order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDC02343,2021-09-17,16:37:10,Dinner,NS,"[('Salmon', 6), ('Shrimp', 7), ('Pasta', 5)]",761.5,-37.8247609,144.9887203,0,9.658,15.4939156
ORDJ01024,2021-09-09,16:16:54,Dinner,TP,"[('Salmon', 8), ('Fish&Chips', 4)]",468.0,-37.8232981,144.9763712,0,8.14,12.3737661
ORDK01604,2021-07-05,14:05:04,Lunch,BK,"[('Steak', 4), ('Fries', 7), ('Burger', 5), ('Chicken', 2)]",483.0,-37.8000254,144.985956,0,6.336,12.691987
ORDI10356,2021-05-25,12:43:56,Lunch,NS,"[('Salad', 4), ('Fries', 6)]",140.8,-37.8149183,144.9827526,0,8.481,13.6165269
ORDX02768,2021-12-26,19:49:51,Dinner,BK,"[('Pasta', 10), ('Shrimp', 6)]",599.0,-37.814828,144.932784,0,10.978,20.8188658
ORDK06172,2021-07-25,14:45:38,Lunch,BK,"[('Salad', 5), ('Chicken', 7)]",310.0,-37.8131274,144.9515121,0,8.546,17.2195382
ORDZ08681,2021-04-18,11:32:57,Breakfast,NS,"[('Coffee', 7), ('Cereal', 6), ('Pancake', 10), ('Eggs', 8)]",549.0,-37.8239102,144.9901857,0,9.633,16.6861635
ORDX04013,2021-07-15,14:25:21,Lunch,BK,"[('Fries', 9), ('Chicken', 2), ('Burger', 1), ('Steak', 4)]",383.0,-37.8194746,144.9817627,0,6.596,12.3185621
ORDI08234,2021-04-07,11:12:40,Breakfast,NS,"[('Eggs', 4), ('Cereal', 2), ('Pancake', 10), ('Coffee', 5)]",374.0,-37.8192478,144.9464006,0,9.657,14.4837864
ORDB10334,2021-01-26,08:50:42,Breakfast,TP,"[('Pancake', 5), ('Cereal', 8)]",271.25,-37.818102,144.9317802,0,10.717,13.3215656
ORDJ04435,2021-08-31,15:56:37,Lunch,TP,"[('Burger', 5), ('Salad', 10), ('Chicken', 3), ('Steak', 4)]",603.0,-37.8142378,144.9871033,0,9.645,12.4983176
ORDY05633,2021-05-30,12:54:05,Lunch,TP,"[('Salad', 4), ('Chicken', 1), ('Fries', 1), ('Steak', 2), ('Burger', 9)]",481.8,-37.8078853,144.9917456,0,10.497,15.5793157
ORDK05827,2021-06-17,13:34:38,Lunch,BK,"[('Burger', 10), ('Steak', 3), ('Fries', 1)]",457.0,-37.8075969,144.943248,0,9.394,15.3099703
ORDX06040,2021-08-03,15:05:54,Lunch,BK,"[('Steak', 9), ('Chicken', 5)]",565.0,-37.8022824,144.9622235,0,7.907,13.7993334
ORDZ01270,2021-05-15,12:23:39,Lunch,NS,"[('Burger', 1), ('Fries', 7), ('Chicken', 6)]",307.0,-37.8139692,144.9635994,0,7.976,15.3549766
ORDI10868,2021-09-29,16:57:27,Dinner,NS,"[('Salmon', 6), ('Shrimp', 2), ('Pasta', 8), ('Fish&Chips', 4)]",714.0,-37.807198,144.9487152,0,8.648,15.3537481
ORDJ09349,2021-12-12,19:29:34,Dinner,TP,"[('Pasta', 2), ('Fish&Chips', 8), ('Salmon', 1)]",376.0,-37.8077318,144.9706127,0,9.244,14.9218997
ORDX04607,2021-12-03,19:09:17,Dinner,BK,"[('Salmon', 1), ('Pasta', 5)]",178.5,-37.8138875,144.971597,0,7.056,13.6717147
ORDC07799,2021-11-02,18:08:27,Dinner,NS,"[('Pasta', 8), ('Fish&Chips', 8)]",500.0,-37.8064858,144.9440298,0,9.075,15.0412207
ORDB06324,2021-04-25,11:43:05,Breakfast,TP,"[('Cereal', 2), ('Coffee', 9)]",89.5,-37.8129573,144.9475153,0,9.297,13.072561
ORDK02583,2021-11-25,18:49:00,Dinner,BK,"[('Salmon', 3), ('Shrimp', 3), ('Pasta', 6), ('Fish&Chips', 7)]",695.0,-37.8222308,144.9782323,0,7.091,13.7839136
ORDK06231,2021-06-30,13:54:55,Lunch,BK,"[('Steak', 5), ('Salad', 8)]",362.6,-37.8201061,144.9506096,0,9.028,14.8159275
ORDZ07487,2021-04-18,11:32:57,Breakfast,NS,"[('Pancake', 6), ('Cereal', 6)]",253.5,-37.8238344,144.9907869,0,9.683,16.793078
ORDI02839,2021-11-25,18:49:00,Dinner,NS,"[('Fish&Chips', 3), ('Shrimp', 6), ('Salmon', 10), ('Pasta', 4)]",949.0,-37.799984,144.9610548,0,6.955,12.8841366
ORDA01335,2021-12-07,19:19:26,Dinner,BK,"[('Salmon', 7), ('Fish&Chips', 10)]",637.0,-37.8099718,144.9705825,0,6.882,13.2630668
ORDJ07505,2021-01-03,08:00:00,Breakfast,TP,"[('Cereal', 1), ('Pancake', 1)]",42.25,-37.8063975,144.9497754,1,9.554,6.7009306
ORDI07309,2021-03-13,10:21:58,Breakfast,NS,"[('Pancake', 5), ('Coffee', 5), ('Cereal', 3), ('Eggs', 4)]",282.75,-37.803536,144.9648914,0,6.841,13.934652
ORDC08947,2021-01-12,08:20:16,Breakfast,NS,"[('Eggs', 7), ('Pancake', 10), ('Cereal', 4), ('Coffee', 4)]",471.5,-37.8175106,144.9487589,1,8.901,6.9169749
ORDA03830,2021-06-04,13:04:13,Lunch,BK,"[('Chicken', 3), ('Burger', 5), ('Fries', 8), ('Steak', 6), ('Salad', 2)]",651.4,-37.8159052,144.9339849,0,10.307,16.6109021
ORDC09651,2021-11-13,18:28:43,Dinner,NS,"[('Fish&Chips', 8), ('Pasta', 4)]",390.0,-37.8001972,144.9354185,0,6.643,15.0528493
ORDK10088,2021-11-24,18:49:00,Dinner,BK,"[('Pasta', 6), ('Salmon', 6)]",411.0,-37.8197601,144.9760725,0,7.428,14.5708571
ORDZ01389,2021-03-22,10:32:06,Breakfast,NS,"[('Pancake', 5), ('Coffee', 5), ('Eggs', 1)]",159.75,-37.7987401,144.9892958,0,8.124,13.3659188
ORDX09499,2021-12-05,19:09:17,Dinner,BK,"[('Fish&Chips', 10), ('Shrimp', 4)]",566.0,-37.8156133,144.9665224,0,7.527,16.9717831
ORDC01800,2021-09-09,16:16:54,Dinner,NS,"[('Salmon', 10), ('Shrimp', 2), ('Pasta', 10), ('Fish&Chips', 3)]",898.0,-37.8175101,144.9958051,0,9.812,15.5052679
ORDA01826,2021-04-18,11:32:57,Breakfast,BK,"[('Pancake', 8), ('Coffee', 10), ('Eggs', 7), ('Cereal', 3)]",440.0,37.8196666,144.9796262,0,7.202,14.6200282
ORDC04497,2021-01-28,08:50:42,Breakfast,NS,"[('Cereal', 3), ('Pancake', 9), ('Eggs', 7)]",363.0,-37.8052862,145.0053315,0,9.615,14.7585206
ORDK06622,2021-07-01,13:54:55,Lunch,BK,"[('Burger', 2), ('Fries', 10)]",1064.8,-37.8201628,144.9686638,0,7.694,13.2680917
ORDC08074,2021-06-18,13:34:38,Lunch,NS,"[('Chicken', 5), ('Salad', 4), ('Burger', 9), ('Steak', 5)]",732.8,-37.8039764,144.9574981,0,10.111,13.7680134
ORDJ01531,2021-03-28,10:52:23,Breakfast,TP,"[('Coffee', 8), ('Pancake', 8)]",222.0,-37.8128879,144.9374815,0,10.424,14.3460465
ORDX05427,2021-12-01,19:09:17,Dinner,BK,"[('Salmon', 3), ('Shrimp', 3), ('Pasta', 9), ('Fish&Chips', 3)]",637.5,-37.8209083,144.9423016,0,9.807,16.9018157
ORDI02246,2021-04-17,11:22:49,Breakfast,NS,"[('Pancake', 4), ('Coffee', 5), ('Cereal', 3)]",176.5,-37.824038,144.9905413,0,9.672,17.0616596
ORDB01380,Tue Dec  7 00:00:00 2021,19:19:26,Dinner,TP,"[('Salmon', 7), ('Shrimp', 4)]",503.0,-37.8116789,144.9647611,0,8.402,12.184178
ORDY00328,2021-03-29,10:52:23,Breakfast,TP,"[('Coffee', 8), ('Pancake', 9), ('Cereal', 8), ('Eggs', 2)]",446.25,145.0057727,-37.8126195,0,11.491,13.4809587
ORDA02054,2021-03-24,10:42:15,Breakfast,BK,"[('Eggs', 2), ('Coffee', 1), ('Pancake', 9), ('Cereal', 7)]",387.75,-37.8030195,144.9497312,0,8.727,14.0409601
ORDX09561,2021-10-10,17:17:44,Dinner,BK,"[('Fish&Chips', 10), ('Shrimp', 3), ('Salmon', 3)]",635.0,-37.8056732,144.9368923,0,9.893,19.1775723
ORDI03062,2021-11-22,18:49:00,Dinner,NS,"[('Fish&Chips', 3), ('Pasta', 9)]",352.5,-37.8088204,144.9421927,0,9.937,16.1926571
ORDZ01585,2021-06-13,13:24:30,Lunch,NS,"[('Salad', 8), ('Chicken', 4)]",265.6,-37.8247407,144.9849141,0,9.484,16.8157238
ORDA05273,2021-02-06,09:10:59,Breakfast,BK,"[('Cereal', 4), ('Coffee', 4), ('Pasta', 10)]",324.5,-37.8145317,144.9711395,0,7.11,14.5519595
ORDB06852,2021-02-08,09:10:59,Breakfast,TP,"[('Cereal', 8), ('Coffee', 8), ('Eggs', 9)]",393.0,-37.8253545,144.9951058,0,9.781,12.3282591
ORDI01361,2021-11-23,18:49:00,Dinner,NS,"[('Shrimp', 7), ('Pasta', 2), ('Salmon', 8)]",761.0,-37.8209583,144.97668,0,8.848,14.6811114
ORDX01743,2021-10-02,17:07:36,Lunch,BK,"[('Salmon', 10), ('Pasta', 9)]",657.5,-37.8083395,144.9490344,0,8.855,18.3526428
ORDY10899,2021-06-14,13:24:30,Lunch,TP,"[('Burger', 6), ('Chicken', 6)]",378.0,-37.8256816,144.9847749,0,8.97,12.276165
ORDI03697,2021-08-26,15:46:28,Lunch,NS,"[('Salad', 7), ('Chicken', 6), ('Burger', 8), ('Steak', 5), ('Fries', 3)]",821.4,-37.8244443,145.0154211,0,11.925,17.3695934
ORDJ02149,2021-10-18,17:38:01,Dinner,TP,"[('Fish&Chips', 10), ('Pasta', 10), ('Shrimp', 8), ('Salmon', 3)]",1180.0,-37.8179881,144.9940972,0,10.059,14.3676394
ORDB08906,2021-11-29,18:59:09,Dinner,TP,"[('Shrimp', 4), ('Pasta', 1)]",243.5,-37.8068766,144.9449831,0,10.112,13.5490477
ORDZ01373,2021-10-22,17:48:10,Dinner,NS,"[('Shrimp', 4), ('Salmon', 10), ('Pasta', 8), ('Fish&Chips', 5)]",1021.0,-37.8054059,144.9744655,0,6.873,12.8561186
ORDX07576,2021-12-15,19:29:34,Dinner,BK,"[('Pasta', 2), ('Salmon', 4)]",219.0,-37.811054,144.9702495,0,6.97,13.6035646
ORDC07952,2021-05-07,12:13:31,Lunch,NS,"[('Salad', 4), ('Steak', 7)]",383.8,-37.8220005,144.9507435,0,9.733,15.3704139
ORDB06550,2021-01-26,08:40:33,Breakfast,TP,"[('Pancake', 4), ('Eggs', 9), ('Coffee', 4), ('Cereal', 10)]",500.0,-37.8060912,144.9338228,0,10.841,12.6248611
ORDY00601,2021-05-28,12:54:05,Lunch,TP,"[('Fries', 7), ('Burger', 7)]",301.0,-37.8203292,144.9666798,0,7.483,11.265471
ORDA02927,2021-08-19,15:36:20,Lunch,BK,"[('Chicken', 9), ('Steak', 4), ('Salad', 3)]",519.6,-37.8175535,144.9591934,0,8.22,13.7283408
ORDA03884,2021-03-08,10:11:49,Breakfast,BK,"[('Cereal', 8), ('Pancake', 6), ('Coffee', 3), ('Eggs', 2)]",352.0,-37.8111243,145.0017881,0,4.23,9.4508595
ORDA07589,2021-12-17,19:39:43,Dinner,BK,"[('Pasta', 6), ('Shrimp', 1), ('Salmon', 1)]",260.0,-37.8092035,144.9731432,0,6.62,13.9267179
ORDI04668,2021-05-05,12:03:22,Lunch,NS,"[('Steak', 1), ('Salad', 6)]",148.2,-37.8095129,144.9726193,1,7.285,13.0485807
ORDZ06956,2021-02-02,09:00:50,Breakfast,NS,"[('Eggs', 3), ('Cereal', 10)]",263.0,-37.8222361,144.9677432,0,8.922,13.4169721
ORDZ00889,2021-10-12,17:27:53,Dinner,NS,"[('Salmon', 6), ('Pasta', 1), ('Shrimp', 8), ('Fish&Chips', 6)]",915.5,-37.8052448,144.9373053,0,9.645,15.8664679
ORDJ08190,2021-08-16,15:26:11,Lunch,TP,"[('Steak', 6), ('Chicken', 10)]",590.0,-37.8106838,144.9598484,0,8.631,11.8211983
ORDK04164,2021-05-24,12:43:56,Lunch,BK,"[('Burger', 6), ('Fries', 5), ('Salad', 2)]",280.4,-37.8112963,144.9440215,0,9.916,15.6130416
ORDJ05456,2021-07-18,14:35:29,Lunch,TP,"[('Steak', 10), ('Salad', 4)]",518.8,-37.8195581,145.0080938,0,11.313,15.7598551
ORDJ00922,2021-04-17,11:32:57,Breakfast,TP,"[('Pancake', 5), ('Eggs', 3), ('Cereal', 6), ('Coffee', 9)]",343.75,-37.824134,144.9900841,0,9.567,13.6495732
ORDZ00864,2021-05-17,12:23:39,Lunch,TP,"[('Fries', 3), ('Salad', 9), ('Steak', 5), ('Chicken', 6), ('Burger', 7)]",824.8,-37.8025333,144.954166,0,7.826,13.7195657
ORDZ06435,2021-11-12,18:28:43,Breakfast,NS,"[('Pasta', 1), ('Salmon', 8), ('Shrimp', 5)]",625.5,-37.8070456,144.9625997,0,9.117,14.7666878
ORDZ08143,2021-06-12,13:24:30,Lunch,NS,"[('Salad', 2), ('Fries', 1), ('Steak', 4), ('Chicken', 9)]",514.4,37.8242297,144.9842558,0,9.519,17.3121804
ORDZ03643,2021-11-22,18:49:00,Dinner,NS,"[('Pasta', 4), ('Salmon', 5)]",315.0,-37.8194101,144.9772839,0,8.887,14.3930259
