order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDB03165,2021-06-25,13:44:47,Lunch,TP,"[('Burger', 10), ('Chicken', 9), ('Steak', 5), ('Salad', 5), ('Fries', 7)]",993.0,-37.8027121,144.9568579,0,9.471,13.0569651
ORDB00562,2021-04-19,11:32:57,Breakfast,TP,"[('Coffee', 3), ('Eggs', 6), ('Cereal', 9), ('Pancake', 4)]",411.5,-37.8230823,144.9881706,0,9.307,11.5484481
ORDC02539,2021-04-03,11:02:32,Breakfast,NS,"[('Coffee', 9), ('Cereal', 7)]",189.5,-37.8052843,144.9859229,0,7.849,14.4215543
ORDI04882,2021-05-01,11:53:14,Breakfast,NS,"[('Eggs', 9), ('Coffee', 4), ('Pancake', 7)]",366.75,-37.820017,144.9786474,0,8.639,15.3143891
ORDY10778,2021-09-10,16:16:54,Dinner,TP,"[('Fish&Chips', 4), ('Pasta', 9), ('Shrimp', 9)]",873.5,-37.8147265,144.9457999,0,9.499,13.3456684
ORDK07407,2021-02-27,09:51:32,Breakfast,BK,"[('Cereal', 5), ('Eggs', 7), ('Coffee', 3)]",263.5,-37.8063268,145.0097338,0,3.913,10.7036358
ORDK09405,2021-07-08,14:15:12,Lunch,BK,"[('Burger', 6), ('Salad', 3), ('Fries', 9), ('Steak', 10), ('Chicken', 5)]",955.6,-37.8120823,144.9383737,0,10.409,16.478289
ORDJ09558,2021-02-08,09:10:59,Breakfast,TP,"[('Pancake', 10), ('Coffee', 9), ('Cereal', 8)]",432.0,-37.8120691,144.9956889,0,10.626,13.35389
ORDY01085,2021-08-19,15:36:20,Lunch,TP,"[('Burger', 8), ('Chicken', 5), ('Fries', 9), ('Salad', 1)]",533.2,-37.8137717,144.9572655,0,8.413,11.5714223
ORDC01916,2021-05-27,12:43:56,Lunch,NS,"[('Steak', 6), ('Burger', 2), ('Salad', 5)]",418.0,-37.8000118,144.974997,0,6.578,12.5035279
